epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.828,1.84465,2.15834,1.4526,0.2587,0.56427,0.18227,0.07555,2.1049,33.9655,1.97798,0.000552011,0.000552011,0.000552011
2,76.9485,1.97817,1.88813,1.56151,0.45563,0.33134,0.26174,0.09229,2.31739,5.92629,1.86481,0.00110037,0.00110037,0.00110037
3,111.028,1.95977,1.83319,1.56126,0.35559,0.45522,0.31355,0.12182,2.19623,4.85307,1.83587,0.00164139,0.00164139,0.00164139
4,145.049,1.90924,1.79438,1.51114,0.25449,0.39858,0.21941,0.08591,2.17248,6.41327,1.62581,0.00163399,0.00163399,0.00163399
5,178.854,1.82814,1.64245,1.45816,0.60599,0.36391,0.38374,0.13859,2.13062,2.45267,1.55463,0.00162299,0.00162299,0.00162299
6,212.717,1.7606,1.58575,1.41578,0.55582,0.46131,0.43532,0.1858,1.87942,1.93788,1.46293,0.00161199,0.00161199,0.00161199
7,246.616,1.74942,1.58619,1.39623,0.6399,0.46523,0.51707,0.21131,1.94127,1.90775,1.43147,0.00160099,0.00160099,0.00160099
8,280.455,1.69786,1.48917,1.38002,0.56504,0.40892,0.42644,0.17033,2.09758,2.0672,1.53067,0.00158998,0.00158998,0.00158998
9,314.391,1.66819,1.4507,1.36889,0.61542,0.46216,0.49314,0.20625,1.93356,1.79277,1.43836,0.00157898,0.00157898,0.00157898
10,348.195,1.63955,1.41062,1.35075,0.71743,0.49446,0.57372,0.24717,1.85557,1.81844,1.39402,0.00156798,0.00156798,0.00156798
11,382.18,1.62627,1.38316,1.34237,0.58894,0.50018,0.51891,0.21842,1.92364,1.66555,1.47072,0.00155698,0.00155698,0.00155698
12,415.948,1.60884,1.38028,1.33443,0.58021,0.51996,0.51337,0.2125,1.89734,1.70172,1.40142,0.00154598,0.00154598,0.00154598
13,449.741,1.57392,1.335,1.30453,0.61272,0.36775,0.41311,0.17441,2.03978,2.09726,1.49778,0.00153497,0.00153497,0.00153497
14,483.506,1.54088,1.29811,1.28839,0.51203,0.57876,0.51357,0.23837,1.78757,1.52303,1.35995,0.00152397,0.00152397,0.00152397
15,517.28,1.54924,1.31035,1.2918,0.636,0.57552,0.60151,0.28915,1.75638,1.40818,1.31468,0.00151297,0.00151297,0.00151297
16,551.073,1.51453,1.26328,1.27152,0.72952,0.60489,0.67599,0.31539,1.72562,1.28811,1.3183,0.00150197,0.00150197,0.00150197
17,584.941,1.51967,1.22632,1.27648,0.62516,0.63904,0.66954,0.32628,1.68492,1.28964,1.31367,0.00149096,0.00149096,0.00149096
18,618.755,1.50822,1.23528,1.27705,0.70231,0.62211,0.66406,0.31203,1.70655,1.36117,1.31756,0.00147996,0.00147996,0.00147996
19,652.523,1.49579,1.20106,1.26264,0.65801,0.61204,0.62409,0.30362,1.70055,1.41289,1.29591,0.00146896,0.00146896,0.00146896
20,686.301,1.49314,1.19709,1.25031,0.75839,0.63021,0.69213,0.35074,1.63606,1.26824,1.25589,0.00145796,0.00145796,0.00145796
21,720.132,1.45111,1.18749,1.25031,0.69976,0.6206,0.68063,0.33576,1.69008,1.30087,1.28951,0.00144696,0.00144696,0.00144696
22,753.862,1.44457,1.13332,1.22814,0.71443,0.57017,0.60052,0.29085,1.79299,1.49592,1.33538,0.00143595,0.00143595,0.00143595
23,787.632,1.43968,1.13013,1.22912,0.72031,0.65813,0.69597,0.34159,1.69302,1.24012,1.30294,0.00142495,0.00142495,0.00142495
24,821.417,1.4064,1.114,1.21449,0.71511,0.64916,0.70633,0.35052,1.65083,1.23424,1.27327,0.00141395,0.00141395,0.00141395
