epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9991,1.83579,2.05306,1.35098,0.37472,0.41933,0.34079,0.12893,1.9755,3.38634,1.58772,0.00055263,0.00055263,0.00055263
2,85.6566,1.94812,1.79729,1.44677,0.47332,0.4725,0.42523,0.17039,1.94402,2.97358,1.51183,0.00110098,0.00110098,0.00110098
3,125.325,1.92729,1.73199,1.42537,0.28086,0.33321,0.23509,0.08144,2.26338,4.21902,1.64873,0.001642,0.001642,0.001642
4,164.801,1.8723,1.63495,1.3871,0.46661,0.35507,0.33869,0.12395,2.24492,2.29044,1.60118,0.00163399,0.00163399,0.00163399
5,204.341,1.83184,1.58574,1.36198,0.55756,0.46635,0.47422,0.19026,2.0222,1.78929,1.46081,0.00162299,0.00162299,0.00162299
6,244.123,1.8028,1.55239,1.35264,0.44726,0.3414,0.31796,0.12738,2.10589,2.26073,1.46746,0.00161199,0.00161199,0.00161199
7,284.226,1.76712,1.48278,1.32886,0.62315,0.49933,0.5299,0.23163,1.78365,2.00504,1.34034,0.00160099,0.00160099,0.00160099
8,322.946,1.71526,1.38608,1.2958,0.62905,0.50084,0.52271,0.22682,1.89411,1.73885,1.39071,0.00158998,0.00158998,0.00158998
9,361.459,1.67351,1.4032,1.28713,0.56004,0.35767,0.34912,0.14736,2.08979,2.41341,1.50055,0.00157898,0.00157898,0.00157898
10,400.179,1.65141,1.35735,1.27836,0.66174,0.60663,0.64742,0.30671,1.67434,1.35107,1.28589,0.00156798,0.00156798,0.00156798
11,438.863,1.61536,1.30044,1.25882,0.59592,0.44854,0.49254,0.22171,1.97311,1.77982,1.41294,0.00155698,0.00155698,0.00155698
12,477.5,1.60048,1.28314,1.24125,0.70981,0.60942,0.66757,0.3197,1.67119,1.31511,1.29484,0.00154598,0.00154598,0.00154598
13,516.218,1.58248,1.24721,1.22338,0.7014,0.58714,0.63055,0.30749,1.74529,1.3406,1.29103,0.00153497,0.00153497,0.00153497
