epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,280.924,2.41764,2.87257,2.80327,0.66767,0.63033,0.66272,0.30108,1.84898,1.84652,2.05433,0.00999016,0.00333005,0.00999016,0.00333005,0.00999016,0.00333005,0.00999016,0.00333005
2,521.575,1.77358,1.8105,1.92515,0.66107,0.61953,0.62506,0.29253,1.72308,1.6569,1.82583,0.0198582,0.00661941,0.0198582,0.00661941,0.0198582,0.00661941,0.0198582,0.00661941
3,751.411,1.72,1.63275,1.79282,0.59559,0.58615,0.60954,0.29007,1.76417,1.59003,1.81502,0.0295943,0.00986476,0.0295943,0.00986476,0.0295943,0.00986476,0.0295943,0.00986476
4,978.665,1.68389,1.48603,1.73391,0.72259,0.66149,0.70389,0.36008,1.62308,1.33956,1.68393,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1204.65,1.5967,1.33134,1.649,0.73483,0.6851,0.74491,0.39113,1.55577,1.21839,1.61374,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1430.76,1.54482,1.22224,1.606,0.71946,0.69411,0.72643,0.38026,1.55299,1.23985,1.61865,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1656.7,1.50546,1.14075,1.56169,0.76881,0.71217,0.77778,0.42014,1.51631,1.09749,1.56898,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1882.58,1.47339,1.09388,1.54118,0.76963,0.74136,0.80087,0.44912,1.44054,1.03543,1.50058,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2108.29,1.42757,1.02232,1.50201,0.77023,0.74373,0.79908,0.45316,1.44739,1.00832,1.50389,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2334.2,1.40816,0.99078,1.48595,0.79045,0.76063,0.82334,0.47439,1.41586,0.95872,1.48401,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2560.43,1.38535,0.95969,1.46777,0.80601,0.78357,0.8403,0.47969,1.38981,0.94752,1.46085,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2786.81,1.35781,0.92769,1.44874,0.81077,0.77871,0.84188,0.47961,1.39909,0.90595,1.46201,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,3013.04,1.33446,0.89549,1.42773,0.77913,0.79775,0.83812,0.48147,1.40079,0.89224,1.47071,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,3239.42,1.33085,0.88502,1.42418,0.8249,0.78758,0.84889,0.5024,1.36586,0.87259,1.43784,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,3465.76,1.31599,0.85424,1.41334,0.82409,0.79533,0.85402,0.50589,1.37515,0.85728,1.43232,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
