epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,261.424,1.9339,2.1161,1.44845,0.64307,0.56346,0.59747,0.2733,1.72886,1.47366,1.33506,0.00999016,0.00333005,0.00999016,0.00333005,0.00999016,0.00333005,0.00999016,0.00333005
2,479.976,1.68614,1.41555,1.28769,0.64388,0.53972,0.55951,0.2587,1.73988,1.46485,1.35426,0.0198582,0.00661941,0.0198582,0.00661941,0.0198582,0.00661941,0.0198582,0.00661941
3,689.887,1.68785,1.41385,1.29406,0.62334,0.51411,0.55415,0.263,1.79493,1.52837,1.43378,0.0295943,0.00986476,0.0295943,0.00986476,0.0295943,0.00986476,0.0295943,0.00986476
4,897.549,1.67161,1.35541,1.30726,0.68692,0.61702,0.67043,0.33943,1.62655,1.26586,1.32131,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1104.53,1.58507,1.2252,1.2615,0.6707,0.5284,0.56449,0.2818,1.7103,1.50905,1.33688,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1311.13,1.52636,1.13792,1.22708,0.74519,0.6638,0.73172,0.38678,1.52403,1.13314,1.23471,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1518,1.4889,1.08069,1.20317,0.7483,0.71008,0.74728,0.4117,1.47425,1.03482,1.22701,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1724.61,1.44662,1.03076,1.18178,0.74892,0.70163,0.76352,0.42521,1.43798,1.04315,1.20103,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1931.04,1.41154,0.98221,1.16128,0.78495,0.73075,0.79126,0.44408,1.41872,0.96277,1.17035,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2137.63,1.382,0.95089,1.14587,0.69669,0.66503,0.69693,0.38823,1.49102,1.1158,1.2039,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2344.26,1.36869,0.92186,1.13272,0.8094,0.74398,0.81529,0.46703,1.37924,0.90776,1.15488,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2550.7,1.33859,0.892,1.11816,0.82538,0.75846,0.82463,0.47758,1.3714,0.87099,1.13885,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2757.14,1.31974,0.86431,1.1081,0.80002,0.76158,0.81727,0.47458,1.3677,0.88729,1.13076,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2963.69,1.30976,0.85213,1.09854,0.83627,0.76208,0.83471,0.48649,1.33905,0.83712,1.12277,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,3170.27,1.29791,0.82761,1.0974,0.84495,0.76458,0.83361,0.49719,1.32098,0.81367,1.12744,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,3376.69,1.26815,0.80107,1.08701,0.83287,0.78037,0.85026,0.50784,1.2925,0.80389,1.11296,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,3586.59,1.25657,0.79343,1.08187,0.83971,0.77982,0.85031,0.50641,1.29101,0.81582,1.10722,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,3793.9,1.23692,0.76932,1.07363,0.84529,0.7713,0.84914,0.5117,1.29129,0.79487,1.10324,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,4001.53,1.21648,0.76187,1.06136,0.84347,0.81496,0.86217,0.52276,1.27837,0.76116,1.09919,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,4209.07,1.2115,0.74255,1.05949,0.8466,0.79856,0.85605,0.52335,1.27511,0.75556,1.10495,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,4416.42,1.20655,0.73874,1.05761,0.85643,0.78495,0.86784,0.53134,1.26614,0.74366,1.09727,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
