epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,257.932,2.35373,2.54179,2.3993,0.6693,0.63113,0.63762,0.29093,1.81184,1.5095,1.65734,0.00999016,0.00333005,0.00999016,0.00333005,0.00999016,0.00333005,0.00999016,0.00333005
2,470.874,1.74547,1.50001,1.53701,0.64069,0.61,0.62279,0.30066,1.71655,1.40401,1.50315,0.0198582,0.00661941,0.0198582,0.00661941,0.0198582,0.00661941,0.0198582,0.00661941
3,673.918,1.724,1.42407,1.47963,0.60429,0.51014,0.54479,0.25971,1.78972,1.49897,1.56932,0.0295943,0.00986476,0.0295943,0.00986476,0.0295943,0.00986476,0.0295943,0.00986476
4,874.334,1.68819,1.33782,1.44997,0.70016,0.61816,0.6589,0.3165,1.6914,1.30509,1.45607,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1074.51,1.58654,1.2191,1.37449,0.72236,0.66477,0.70932,0.36881,1.57104,1.18458,1.3957,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1274.78,1.53227,1.13005,1.34515,0.73741,0.69773,0.74351,0.39459,1.48965,1.08046,1.33201,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1474.95,1.48462,1.06054,1.30667,0.72566,0.68299,0.72576,0.39634,1.49041,1.08158,1.33465,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1675.16,1.44882,1.01919,1.29251,0.79006,0.71208,0.78495,0.43592,1.42996,0.98461,1.28946,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,1874.2,1.4069,0.96615,1.26524,0.7926,0.7291,0.79224,0.44308,1.40398,0.95707,1.2779,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2070.61,1.3845,0.93311,1.2463,0.78889,0.74337,0.79722,0.45455,1.38769,0.92036,1.25658,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2267.24,1.36153,0.89858,1.23477,0.72143,0.73266,0.75109,0.42085,1.41381,0.96914,1.27112,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2463.7,1.32872,0.87698,1.21762,0.79825,0.75879,0.8172,0.46347,1.37972,0.8473,1.25784,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,2659.83,1.30708,0.84474,1.20823,0.77993,0.76748,0.80591,0.466,1.36392,0.8655,1.24494,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,2855,1.30194,0.83087,1.19454,0.8147,0.78275,0.83608,0.49147,1.31499,0.82386,1.22412,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
