epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,321.742,3.07612,3.70873,3.19531,0.58743,0.53929,0.52222,0.21586,1.99591,2.02125,2.17769,0.00999016,0.00333005,0.00999016,0.00333005,0.00999016,0.00333005,0.00999016,0.00333005
2,597.253,1.87991,1.94959,1.99462,0.61656,0.57545,0.57282,0.26037,1.75824,1.73469,1.84253,0.0198582,0.00661941,0.0198582,0.00661941,0.0198582,0.00661941,0.0198582,0.00661941
3,862.249,1.75509,1.66719,1.81168,0.60839,0.59232,0.58461,0.27041,1.74924,1.65655,1.8084,0.0295943,0.00986476,0.0295943,0.00986476,0.0295943,0.00986476,0.0295943,0.00986476
4,1124.5,1.69822,1.49302,1.7402,0.67679,0.62601,0.66511,0.3253,1.68154,1.47042,1.73662,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1386.37,1.61012,1.34488,1.65676,0.69809,0.63792,0.67342,0.34055,1.66033,1.42466,1.68629,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1648.45,1.5582,1.24027,1.61764,0.74116,0.70293,0.74989,0.39554,1.54032,1.20769,1.60044,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1910.42,1.5153,1.15337,1.5701,0.72663,0.71894,0.7602,0.4107,1.52817,1.14985,1.57908,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2171.24,1.47348,1.10569,1.54013,0.78111,0.72583,0.79202,0.43633,1.45872,1.08538,1.53186,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2428.25,1.4361,1.04151,1.51049,0.76652,0.72504,0.78115,0.43691,1.48654,1.08127,1.55033,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2685.69,1.41187,1.01098,1.48783,0.79578,0.73207,0.79867,0.45365,1.45255,1.0167,1.52334,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2942.99,1.39094,0.97651,1.46987,0.79383,0.76038,0.82168,0.47383,1.39236,0.98591,1.4708,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,3198.92,1.36113,0.94108,1.45382,0.81868,0.76747,0.83422,0.4796,1.37624,0.90149,1.45741,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,3454.23,1.34295,0.90568,1.43032,0.78511,0.78745,0.82314,0.47867,1.38984,0.91778,1.47197,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,3709.39,1.3311,0.88872,1.42679,0.79525,0.78757,0.83553,0.49521,1.3581,0.88977,1.44973,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,3964.46,1.31769,0.86016,1.41364,0.82932,0.79011,0.84587,0.49564,1.37019,0.87897,1.45683,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,4219.56,1.28881,0.83782,1.39523,0.82029,0.79667,0.85713,0.51045,1.34503,0.82797,1.42934,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,4474.76,1.27984,0.82126,1.3943,0.83266,0.79663,0.85745,0.50814,1.35581,0.83435,1.43769,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,4730.13,1.2579,0.79972,1.37607,0.85241,0.81064,0.86684,0.5277,1.32366,0.81383,1.4199,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,4985.81,1.24275,0.78553,1.36126,0.8236,0.81475,0.86383,0.51788,1.32212,0.80739,1.4195,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,5241.52,1.23465,0.7599,1.35838,0.85231,0.81093,0.8736,0.52816,1.31177,0.7873,1.4146,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,5496.71,1.22682,0.75254,1.35523,0.83782,0.81809,0.87105,0.53353,1.30109,0.78156,1.40879,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,5751.86,1.20841,0.73831,1.34008,0.8529,0.83061,0.87979,0.54177,1.29194,0.75842,1.39672,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,6007.58,1.19276,0.73101,1.32304,0.86394,0.81194,0.87498,0.53587,1.29409,0.76021,1.40759,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,6262.57,1.1879,0.71874,1.32127,0.85181,0.81887,0.88022,0.54403,1.27864,0.74199,1.39152,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,6517.66,1.17572,0.70896,1.31733,0.85842,0.82365,0.88296,0.5476,1.2937,0.73923,1.40064,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,6772.85,1.16634,0.69254,1.30705,0.86566,0.82812,0.8848,0.54773,1.27219,0.72865,1.38358,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,7028.75,1.15996,0.68554,1.30604,0.87513,0.81587,0.88539,0.55436,1.26605,0.71793,1.38116,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,7284.46,1.14715,0.67581,1.29403,0.85864,0.83296,0.88225,0.55214,1.26456,0.72406,1.38651,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,7540.42,1.13733,0.66711,1.2818,0.85675,0.83923,0.88464,0.55295,1.27168,0.72063,1.38521,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,7796.27,1.12772,0.65332,1.28159,0.85707,0.84053,0.88188,0.55537,1.26404,0.71621,1.37343,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,8052.1,1.12234,0.65192,1.27612,0.88035,0.83227,0.88241,0.55622,1.25773,0.70027,1.37467,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,8307.9,1.10487,0.64188,1.2676,0.86942,0.83747,0.88527,0.56183,1.2533,0.70026,1.36988,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,8563.79,1.10229,0.63454,1.26486,0.8541,0.83515,0.88373,0.55799,1.25654,0.70771,1.37337,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,8819.42,1.09395,0.62684,1.26254,0.8783,0.83659,0.89146,0.56342,1.25522,0.69494,1.37691,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
