epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,406.862,3.14677,3.96597,3.238,0.49824,0.50472,0.44668,0.17715,2.07108,2.09612,2.20929,0.00999261,0.00333087,0.00999261,0.00333087,0.00999261,0.00333087,0.00999261,0.00333087
2,753.471,1.90414,2.00279,2.04189,0.58074,0.62138,0.60545,0.2719,1.79173,1.73001,1.87618,0.0198607,0.00662022,0.0198607,0.00662022,0.0198607,0.00662022,0.0198607,0.00662022
3,1083.65,1.7774,1.6959,1.84515,0.57548,0.56719,0.55831,0.25985,1.81045,1.77459,1.88382,0.0295967,0.00986557,0.0295967,0.00986557,0.0295967,0.00986557,0.0295967,0.00986557
4,1407.21,1.70185,1.53026,1.76176,0.69473,0.62134,0.67052,0.31953,1.69513,1.42138,1.75867,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1730.52,1.62533,1.38286,1.6845,0.70726,0.67431,0.71847,0.36956,1.5868,1.30961,1.66046,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,2051.45,1.56634,1.27208,1.63782,0.74555,0.70202,0.7557,0.40143,1.54052,1.18631,1.60325,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,2372.25,1.53031,1.1975,1.60819,0.74256,0.70538,0.74868,0.40658,1.51976,1.18603,1.61682,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2693.55,1.4872,1.13128,1.56574,0.78364,0.72668,0.79531,0.43487,1.46641,1.07629,1.55712,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,3014.14,1.45317,1.06828,1.5449,0.78863,0.74916,0.80462,0.45072,1.4568,1.00119,1.56092,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,3334.73,1.42845,1.02336,1.52053,0.79728,0.75501,0.81288,0.45998,1.43124,0.99506,1.52536,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,3656.13,1.39575,0.98641,1.5008,0.78883,0.7732,0.82959,0.47194,1.40544,0.96482,1.49203,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,3977.19,1.37947,0.95992,1.48791,0.81459,0.76559,0.83202,0.47494,1.41014,0.92795,1.49696,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,4298.17,1.35322,0.91737,1.46321,0.81996,0.77061,0.84106,0.49396,1.37,0.88671,1.48009,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,4618.8,1.33734,0.90383,1.45279,0.81235,0.77227,0.84375,0.49561,1.37045,0.89624,1.48864,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,4939.23,1.32141,0.8783,1.44208,0.82885,0.78522,0.84655,0.50517,1.33443,0.85298,1.44728,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,5259.79,1.31189,0.86181,1.43753,0.83989,0.7985,0.85477,0.51104,1.32733,0.84278,1.45514,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,5580.44,1.29262,0.83127,1.42214,0.83074,0.80396,0.85763,0.5167,1.32311,0.83576,1.44704,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,5901.08,1.27418,0.8179,1.40834,0.82878,0.80215,0.85843,0.51868,1.33128,0.82474,1.45747,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,6221.83,1.24996,0.79157,1.39338,0.83593,0.79943,0.85439,0.51124,1.35348,0.82292,1.45965,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,6543.1,1.24688,0.77952,1.38566,0.83063,0.8174,0.86016,0.5271,1.30329,0.79617,1.43159,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,6863.6,1.2312,0.76716,1.37132,0.82911,0.81777,0.86578,0.52917,1.31181,0.78451,1.42786,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,7184.82,1.22295,0.75955,1.36697,0.85138,0.81863,0.87433,0.53702,1.28702,0.77399,1.41187,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,7506.12,1.20926,0.75137,1.35964,0.84686,0.82041,0.87547,0.53439,1.29801,0.75981,1.42268,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
