epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0662,1.84918,3.24285,1.34908,0.08193,0.28835,0.07896,0.03297,1.79885,92.2749,1.41837,0.00046676,0.00046676,0.00046676
2,33.6944,1.74989,1.79813,1.34296,0.00797,0.5593,0.00596,0.00262,2.34349,inf,2.78627,0.000943919,0.000943919,0.000943919
3,44.3829,1.76597,1.61791,1.36312,0.19634,0.2877,0.16408,0.07154,2.40328,28.3701,1.97597,0.0014147,0.0014147,0.0014147
4,55.1639,1.84052,1.71406,1.37847,0.32002,0.1943,0.17959,0.08446,2.33781,13.6089,2.20259,0.00163399,0.00163399,0.00163399
5,63.9617,1.74904,1.53968,1.35381,0.43794,0.18509,0.1843,0.07736,2.52411,3.77656,2.24383,0.00162299,0.00162299,0.00162299
6,71.8533,1.68504,1.42284,1.30882,0.50252,0.51384,0.47865,0.20666,1.93902,2.16784,1.56565,0.00161199,0.00161199,0.00161199
7,79.802,1.6076,1.28753,1.27872,0.52526,0.55839,0.48252,0.22486,1.80139,1.76246,1.48616,0.00160099,0.00160099,0.00160099
8,87.6991,1.60598,1.24116,1.25449,0.55128,0.43134,0.46262,0.22474,1.69084,3.3949,1.42538,0.00158998,0.00158998,0.00158998
9,95.3955,1.59174,1.2259,1.24569,0.6405,0.51751,0.56311,0.27965,1.79907,2.17515,1.41498,0.00157898,0.00157898,0.00157898
10,103.195,1.55817,1.21892,1.22542,0.57097,0.58645,0.57816,0.26711,1.92357,1.76217,1.54421,0.00156798,0.00156798,0.00156798
11,110.934,1.52756,1.219,1.22558,0.64844,0.58762,0.59654,0.28224,1.65488,1.39557,1.45265,0.00155698,0.00155698,0.00155698
12,118.694,1.56989,1.17657,1.22456,0.62696,0.43363,0.46575,0.21881,2.34805,1.92797,1.82738,0.00154598,0.00154598,0.00154598
13,126.356,1.4581,1.10636,1.17214,0.6367,0.50125,0.5575,0.27866,1.61496,2.19386,1.3628,0.00153497,0.00153497,0.00153497
14,133.988,1.5091,1.12837,1.23798,0.64536,0.57023,0.6051,0.31618,1.69413,1.49383,1.46052,0.00152397,0.00152397,0.00152397
15,141.722,1.48464,1.09513,1.2039,0.58838,0.65453,0.64733,0.32035,1.7069,1.28096,1.39831,0.00151297,0.00151297,0.00151297
16,149.527,1.47277,1.08395,1.19144,0.68479,0.53405,0.58831,0.32207,1.65538,1.41233,1.4779,0.00150197,0.00150197,0.00150197
17,157.287,1.44819,1.08215,1.1894,0.58804,0.51165,0.53602,0.29174,1.88383,1.53109,1.49157,0.00149096,0.00149096,0.00149096
18,164.975,1.43692,1.07224,1.17984,0.73735,0.46809,0.52202,0.2361,2.11055,1.71468,1.67802,0.00147996,0.00147996,0.00147996
19,172.594,1.47968,1.04499,1.19902,0.74153,0.65826,0.71583,0.36578,1.74254,1.29382,1.35681,0.00146896,0.00146896,0.00146896
20,180.508,1.38954,0.97474,1.16929,0.7428,0.60702,0.6711,0.34612,1.68554,1.32492,1.40695,0.00145796,0.00145796,0.00145796
21,188.172,1.38735,0.99737,1.15316,0.59021,0.52554,0.55393,0.29189,1.79855,1.63149,1.43666,0.00144696,0.00144696,0.00144696
22,195.861,1.3628,0.96965,1.15371,0.717,0.56607,0.62674,0.31998,1.82776,1.40467,1.41386,0.00143595,0.00143595,0.00143595
23,203.465,1.33328,0.94601,1.15606,0.78277,0.75193,0.81,0.44118,1.60924,1.1143,1.30543,0.00142495,0.00142495,0.00142495
24,211.307,1.34273,0.96558,1.14493,0.72175,0.70614,0.75764,0.4118,1.5689,1.12518,1.3111,0.00141395,0.00141395,0.00141395
25,218.963,1.29616,0.90768,1.12595,0.77979,0.64177,0.71426,0.37938,1.65431,1.3955,1.34844,0.00140295,0.00140295,0.00140295
26,226.595,1.33669,0.91193,1.13847,0.80627,0.62649,0.75083,0.40894,1.68125,1.16015,1.3009,0.00139195,0.00139195,0.00139195
27,234.251,1.29937,0.90113,1.1188,0.80637,0.66165,0.77035,0.4461,1.4432,0.98469,1.23676,0.00138094,0.00138094,0.00138094
28,242.051,1.29852,0.87138,1.09909,0.82901,0.65631,0.75719,0.41047,1.57418,1.13915,1.26493,0.00136994,0.00136994,0.00136994
29,249.708,1.24817,0.83888,1.0857,0.81075,0.65959,0.72551,0.39501,1.52245,1.0272,1.32857,0.00135894,0.00135894,0.00135894
30,257.322,1.21683,0.81424,1.0673,0.75125,0.68461,0.76475,0.42705,1.48027,1.00734,1.24726,0.00134794,0.00134794,0.00134794
31,264.972,1.23701,0.82145,1.07555,0.83486,0.70094,0.79078,0.43388,1.46234,0.97355,1.26278,0.00133693,0.00133693,0.00133693
32,272.685,1.22632,0.80574,1.0696,0.80839,0.72311,0.78643,0.44525,1.5951,0.99606,1.24979,0.00132593,0.00132593,0.00132593
33,280.331,1.23005,0.79516,1.07359,0.73464,0.76536,0.76338,0.41902,1.47644,1.02189,1.23121,0.00131493,0.00131493,0.00131493
34,288.001,1.17756,0.76408,1.05739,0.79885,0.68544,0.77552,0.42637,1.60762,1.01117,1.31133,0.00130393,0.00130393,0.00130393
35,295.648,1.17323,0.74488,1.0458,0.777,0.76074,0.79841,0.44268,1.46049,0.94562,1.27915,0.00129293,0.00129293,0.00129293
